source	slug	source_bytes	web_bytes	thumb_bytes	source_dimensions	web_dimensions	thumb_dimensions	web	thumb
"ChatGPT Image 19. svi 2026. 20_46_11.png"	chatgpt-image-19-svi-2026-20-46-11	2119822	237096	37092	1536x1024	1536x1024	520x347	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/web/chatgpt-image-19-svi-2026-20-46-11.webp	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/thumb/chatgpt-image-19-svi-2026-20-46-11.webp
"ChatGPT Image 19. svi 2026. 16_12_16.png"	chatgpt-image-19-svi-2026-16-12-16	2494937	253154	39552	1536x1024	1536x1024	520x347	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/web/chatgpt-image-19-svi-2026-16-12-16.webp	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/thumb/chatgpt-image-19-svi-2026-16-12-16.webp
"ChatGPT Image 19. svi 2026. 16_31_23.png"	chatgpt-image-19-svi-2026-16-31-23	2045485	214428	35070	1536x1024	1536x1024	520x347	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/web/chatgpt-image-19-svi-2026-16-31-23.webp	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/thumb/chatgpt-image-19-svi-2026-16-31-23.webp
"ChatGPT Image 20. svi 2026. 16_41_34.png"	chatgpt-image-20-svi-2026-16-41-34	2200583	216510	35390	1491x1055	1491x1055	520x368	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/web/chatgpt-image-20-svi-2026-16-41-34.webp	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/thumb/chatgpt-image-20-svi-2026-16-41-34.webp
"ChatGPT Image 19. svi 2026. 18_20_46.png"	chatgpt-image-19-svi-2026-18-20-46	2029376	213726	32786	1536x1024	1536x1024	520x347	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/web/chatgpt-image-19-svi-2026-18-20-46.webp	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/thumb/chatgpt-image-19-svi-2026-18-20-46.webp
"ChatGPT Image 20. svi 2026. 16_39_25.png"	chatgpt-image-20-svi-2026-16-39-25	2376595	259552	39198	1536x1024	1536x1024	520x347	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/web/chatgpt-image-20-svi-2026-16-39-25.webp	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/thumb/chatgpt-image-20-svi-2026-16-39-25.webp
"ChatGPT Image 20. svi 2026. 16_41_22.png"	chatgpt-image-20-svi-2026-16-41-22	2087919	237528	35256	1536x1024	1536x1024	520x347	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/web/chatgpt-image-20-svi-2026-16-41-22.webp	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/thumb/chatgpt-image-20-svi-2026-16-41-22.webp
"ChatGPT Image 19. svi 2026. 20_08_24.png"	chatgpt-image-19-svi-2026-20-08-24	2081771	231128	37738	1536x1024	1536x1024	520x347	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/web/chatgpt-image-19-svi-2026-20-08-24.webp	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/thumb/chatgpt-image-19-svi-2026-20-08-24.webp
"ChatGPT Image 19. svi 2026. 20_46_27.png"	chatgpt-image-19-svi-2026-20-46-27	2184984	256570	39786	1536x1024	1536x1024	520x347	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/web/chatgpt-image-19-svi-2026-20-46-27.webp	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/thumb/chatgpt-image-19-svi-2026-20-46-27.webp
"ChatGPT Image 19. svi 2026. 20_45_50.png"	chatgpt-image-19-svi-2026-20-45-50	2169471	248164	37762	1536x1024	1536x1024	520x347	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/web/chatgpt-image-19-svi-2026-20-45-50.webp	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/thumb/chatgpt-image-19-svi-2026-20-45-50.webp
"ChatGPT Image 18. svi 2026. 20_54_41.png"	chatgpt-image-18-svi-2026-20-54-41	1954752	212186	35324	1536x1024	1536x1024	520x347	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/web/chatgpt-image-18-svi-2026-20-54-41.webp	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/thumb/chatgpt-image-18-svi-2026-20-54-41.webp
"ChatGPT Image 18. svi 2026. 21_21_12.png"	chatgpt-image-18-svi-2026-21-21-12	2080943	236372	36612	1536x1024	1536x1024	520x347	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/web/chatgpt-image-18-svi-2026-21-21-12.webp	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/thumb/chatgpt-image-18-svi-2026-21-21-12.webp
"ChatGPT Image 19. svi 2026. 20_01_07.png"	chatgpt-image-19-svi-2026-20-01-07	2211626	266956	40582	1536x1024	1536x1024	520x347	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/web/chatgpt-image-19-svi-2026-20-01-07.webp	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/thumb/chatgpt-image-19-svi-2026-20-01-07.webp
"ChatGPT Image 19. svi 2026. 20_12_21.png"	chatgpt-image-19-svi-2026-20-12-21	2099285	237958	38422	1536x1024	1536x1024	520x347	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/web/chatgpt-image-19-svi-2026-20-12-21.webp	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/thumb/chatgpt-image-19-svi-2026-20-12-21.webp
"ChatGPT Image 19. svi 2026. 17_53_16.png"	chatgpt-image-19-svi-2026-17-53-16	1989421	224894	36044	1536x1024	1536x1024	520x347	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/web/chatgpt-image-19-svi-2026-17-53-16.webp	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/thumb/chatgpt-image-19-svi-2026-17-53-16.webp
"ChatGPT Image 20. svi 2026. 16_41_06.png"	chatgpt-image-20-svi-2026-16-41-06	2341361	256652	42848	1448x1086	1448x1086	520x390	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/web/chatgpt-image-20-svi-2026-16-41-06.webp	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/thumb/chatgpt-image-20-svi-2026-16-41-06.webp
"ChatGPT Image 19. svi 2026. 18_04_32.png"	chatgpt-image-19-svi-2026-18-04-32	1982890	219836	35174	1536x1024	1536x1024	520x347	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/web/chatgpt-image-19-svi-2026-18-04-32.webp	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/thumb/chatgpt-image-19-svi-2026-18-04-32.webp
"ChatGPT Image 19. svi 2026. 20_04_30.png"	chatgpt-image-19-svi-2026-20-04-30	2150526	258358	39700	1536x1024	1536x1024	520x347	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/web/chatgpt-image-19-svi-2026-20-04-30.webp	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/thumb/chatgpt-image-19-svi-2026-20-04-30.webp
